SETID,SPL_VERSION,RXCUI,RXSTRING,RXTTY
00002127-02bc-4c66-b0c3-ca29d8224afc,1,108204,BETADINE 5 % Topical Spray,PSN
00002127-02bc-4c66-b0c3-ca29d8224afc,1,238850,povidone-iodine 5 % Topical Spray,PSN
000155a8-709c-44e5-a75f-cd890f3a7caf,29,198014,naproxen 500 MG Oral Tablet,PSN
0001d1cf-f727-4875-a44f-5a51f7b617a4,4,1046593,benzalkonium chloride 0.13 % Medicated Liquid Soap,PSN
0001eaa9-e890-4e94-9d44-47a0f3086a02,2,251577,salicylic acid 2 % Topical Solution,PSN
0001eaa9-e890-4e94-9d44-47a0f3086a02,2,282727,sulfur 5 % Topical Solution,PSN
0001eaa9-e890-4e94-9d44-47a0f3086a02,2,845836,benzoyl peroxide 2.5 % Medicated Liquid Soap,PSN
0001eaa9-e890-4e94-9d44-47a0f3086a02,2,1372925,benzoyl peroxide 2.5 % Medicated Liquid Soap (240 ML) / salicylic acid 2 % Topical Solution (120 ML) / sulfur 5 % Topical Solution (60 ML) Pack,PSN
00025ea5-d15f-49d2-a52a-6c1bd8c6a033,14,562600,salicylic acid 2 % Facial Cleanser Toner,SY
0002ad27-779d-42ab-83b5-bc65453412a1,31,1425104,trametinib 0.5 MG (as trametinib dimethyl sulfoxide 0.5635 MG) Oral Tablet,SY
0002ad27-779d-42ab-83b5-bc65453412a1,31,1425110,Mekinist 0.5 MG (as trametinib dimethyl sulfoxide 0.5635 MG) Oral Tablet,SY
0002ad27-779d-42ab-83b5-bc65453412a1,31,1425116,trametinib 2 MG (as trametinib dimethyl sulfoxide 2.254 MG) Oral Tablet,SY
0002ad27-779d-42ab-83b5-bc65453412a1,31,1425118,Mekinist 2 MG (as trametinib dimethyl sulfoxide 2.254 MG) Oral Tablet,SY
0002ad27-779d-42ab-83b5-bc65453412a1,31,2632560,trametinib 0.05 MG (equivalent to trametinib dimethyl sulfoxide) per 1 ML Oral Solution,SY
0002ad27-779d-42ab-83b5-bc65453412a1,31,2632564,Mekinist 0.05 MG in 1 mL Oral Solution,PSN
0002eded-a283-4590-a78c-b6ff2027e684,1,310433,gabapentin 600 MG Oral Tablet,PSN
0002eded-a283-4590-a78c-b6ff2027e684,1,310434,gabapentin 800 MG Oral Tablet,PSN
0003458f-352a-46fa-9d99-230daa76ae29,11,199245,glimepiride 1 MG Oral Tablet,PSN
0003458f-352a-46fa-9d99-230daa76ae29,11,199246,glimepiride 2 MG Oral Tablet,PSN
0003458f-352a-46fa-9d99-230daa76ae29,11,199247,glimepiride 4 MG Oral Tablet,PSN
0003eccd-6147-4a7c-ae83-b2a94933e07d,7,197944,methocarbamol 750 MG Oral Tablet,PSN
00040bfe-001a-484e-bec0-e21e8b27f369,4,106258,hydrocortisone 1 % (as hydrocortisone acetate 1.2 % ) Topical Cream,SY
00046231-8fab-44a0-b986-9a9dd450881d,11,208545,levothyroxine sodium 76 MCG / liothyronine sodium 18 MCG Oral Tablet,SY
00046231-8fab-44a0-b986-9a9dd450881d,11,1923809,NP Thyroid (levothyroxine sodium 76 MCG / liothyronine sodium 18 MCG) Oral Tablet,SY
0004a0bb-87c0-46f8-b36a-95c98107395d,1,636671,varenicline 0.5 MG (as varenicline tartrate 0.85 MG) Oral Tablet,SY
0004a0bb-87c0-46f8-b36a-95c98107395d,1,636676,varenicline 1 MG (as varenicline tartrate 1.71 MG) Oral Tablet,SY
0004a0bb-87c0-46f8-b36a-95c98107395d,1,749289,varenicline first month of therapy Pack,SY
0005aafa-08f8-4990-a54d-cc097195708f,19,198440,APAP 500 MG Oral Tablet,SY
0005e2a8-3ab9-4173-a46f-9c53881379e2,2,213169,Plavix 75 MG (clopidogrel bisulfate 97.875 MG) Oral Tablet,SY
0005e2a8-3ab9-4173-a46f-9c53881379e2,2,309362,clopidogrel 75 MG (as clopidogrel bisulfate 97.875 MG) Oral Tablet,SY
00071697-4ac6-4962-8eee-388b8b52bd40,7,998232,glycerin 0.2 % Ophthalmic Solution,PSN
00071697-4ac6-4962-8eee-388b8b52bd40,7,998236,Oasis Tears 0.2 % Ophthalmic Drops,SY
0007892c-8c17-400d-b820-020aa32f433b,3,197900,LORazepam 0.5 MG Oral Tablet,PSN
0007892c-8c17-400d-b820-020aa32f433b,3,197901,LORazepam 1 MG Oral Tablet,PSN
0007892c-8c17-400d-b820-020aa32f433b,3,197902,LORazepam 2 MG Oral Tablet,PSN
0007e3ea-882b-4000-8e70-2bcec2c08613,2,637518,benzocaine 20 % / resorcinol 3 % Vaginal Cream,PSN
00088ecd-e45d-4080-b124-e66376ad7694,2,1737244,2 ML clindamycin 150 MG/ML Injection,SCD
000900d4-b851-4ac4-80bb-406ff25e5590,1,247835,ethanol 0.62 ML/ML Topical Solution,SCD
000ae256-a337-4903-845b-003777a4efa8,8,848176,Augmented betamethasone 0.5 MG/ML Topical Cream,SCD
000b5b37-3873-4007-b3be-ad99a9904bed,1,197686,etodolac 400 MG Oral Tablet,PSN
000bf57b-1805-4746-bf1c-32856241213a,4,314188,povidone-iodine 7.5 % (titratable iodine 0.75 % ) Topical Solution,SY
000c044a-12ef-4484-942e-99552b777d58,6,359296,calcium acetate 667 MG (Ca 169 MG) Oral Capsule,PSN
000d7ed6-8907-4e0c-b731-a59e7b394285,3,892086,enrofloxacin 100 MG/ML Injectable Solution,PSN
000dc81d-ab91-450c-8eae-8eb74e72296f,23,1656340,sacubitril 24 MG / valsartan 26 MG Oral Tablet,PSN
000dc81d-ab91-450c-8eae-8eb74e72296f,23,1656346,Entresto (sacubitril 24 MG / valsartan 26 MG) Oral Tablet,SY
000dc81d-ab91-450c-8eae-8eb74e72296f,23,1656349,sacubitril 49 MG / valsartan 51 MG Oral Tablet,PSN
000dc81d-ab91-450c-8eae-8eb74e72296f,23,1656351,Entresto (sacubitril 49 MG / valsartan 51 MG) Oral Tablet,SY
000dc81d-ab91-450c-8eae-8eb74e72296f,23,1656354,sacubitril 97 MG / valsartan 103 MG Oral Tablet,PSN
000dc81d-ab91-450c-8eae-8eb74e72296f,23,1656356,Entresto (sacubitril 97 MG / valsartan 103 MG) Oral Tablet,SY
000dc81d-ab91-450c-8eae-8eb74e72296f,23,2679793,sacubitril 15 MG / valsartan 16 MG Oral Pellet,PSN
000dc81d-ab91-450c-8eae-8eb74e72296f,23,2679797,Entresto Sprinkle (sacubitril 15 MG / valsartan 16 MG) Oral Pellet,SY
000dc81d-ab91-450c-8eae-8eb74e72296f,23,2679800,sacubitril 6 MG / valsartan 6 MG Oral Pellet,PSN
000dc81d-ab91-450c-8eae-8eb74e72296f,23,2679802,Entresto Sprinkle (sacubitril 6 MG / valsartan 6 MG) Oral Pellet,SY
00100102-c245-4b63-a4ff-794cacda6f17,7,2618668,lanolin 0.35 MG/MG / petrolatum 0.59 MG/MG Topical Ointment,SCD
00109d18-397a-4c10-a28b-836d56d71829,3,1049225,APAP 325 MG / oxycodone hydrochloride 7.5 MG Oral Tablet,SY
0013824b-6aee-4da4-affd-35bc6bf19d91,1,206554,Cefizox 1 GM per 50 ML Injectable Solution,SY
0013824b-6aee-4da4-affd-35bc6bf19d91,1,206559,Cefizox 2 GM per 50 ML Injectable Solution,SY
0013824b-6aee-4da4-affd-35bc6bf19d91,1,342958,ceftizoxime (as ceftizoxime sodium) 20 MG/ML Injectable Solution,SY
0013824b-6aee-4da4-affd-35bc6bf19d91,1,342959,ceftizoxime 40 MG/ML Injectable Solution,SCD
0013c0c8-513a-48f3-a918-5bc1750c96a7,4,197832,INH 300 MG Oral Tablet,SY
00171d6f-a0a7-4e90-abde-6dd3f1285ec0,3,1249758,lidocaine 0.04 MG/MG / menthol 0.01 MG/MG Medicated Patch,SCD
00171d6f-a0a7-4e90-abde-6dd3f1285ec0,3,2201504,Lidozen (lidocaine 4 % / menthol 1 % ) Medicated Patch,SY
001777fb-196c-499a-94c8-6cdcef0958e9,18,240698,sodium fluoride 0.05 % (fluoride ion 0.02 % ) Oral Rinse,PSN
00179766-980b-44b0-99d3-1fee2bb27e37,2,312940,sertraline (as sertraline HCl) 25 MG Oral Tablet,SY
001817ea-906e-47f7-8605-41ba5a9abd21,5,433733,esomeprazole 20 MG (as esomeprazole magnesium 22.3 MG) Delayed Release Oral Tablet,SY
0018861f-1b9b-431b-84ee-9d34aab615c3,5,197843,ISOtretinoin 10 MG Oral Capsule,PSN
0018861f-1b9b-431b-84ee-9d34aab615c3,5,197844,ISOtretinoin 20 MG Oral Capsule,PSN
0018861f-1b9b-431b-84ee-9d34aab615c3,5,197845,ISOtretinoin 40 MG Oral Capsule,PSN
0018861f-1b9b-431b-84ee-9d34aab615c3,5,404058,Amnesteem 10 MG Oral Capsule,PSN
0018861f-1b9b-431b-84ee-9d34aab615c3,5,404061,Amnesteem 20 MG Oral Capsule,PSN
0018861f-1b9b-431b-84ee-9d34aab615c3,5,404064,Amnesteem 40 MG Oral Capsule,PSN
0018ade9-5856-db6c-e063-6394a90a2ccf,3,2360899,polyethylene glycol 400 1 % Ophthalmic Solution,PSN
0019528c-2f65-ef52-e063-6394a90a37bb,1,1812101,dexbrompheniramine maleate 0.4 MG/ML / dextromethorphan hydrobromide 3 MG/ML / phenylephrine hydrochloride 1.5 MG/ML Oral Solution,SCD
0019cd99-b245-2ffc-e063-6294a90a9f27,3,996209,PEG 400 1 % / tetrahydrozoline hydrochloride 0.05 % Ophthalmic Solution,SY
001bb235-5801-4b31-b3be-a3b7811ea3c3,5,359817,nicotine 2 MG (as nicotine polacrilex 11.1 MG) Oral Lozenge,SY
001c1fcf-2808-467c-86d8-c038513fa3b5,14,808520,isopropyl alcohol 0.7 ML/ML Topical Solution,SCD
